Optimal path [nodeId(time to the node):
36(0) -> 32(121) -> 23(140) -> 2(136) -> 40(141) -> 9(119) -> 44(133) -> 8(131) -> 7(128) -> 10(124) -> 13(144) -> 46(139) -> 42(135) -> 26(111) -> 38(124) -> 39(135) -> 3(145) -> 5(131) -> 29(141) -> 24(128) -> 18(156) -> 25(118) -> 48(133) -> 12(124) -> 11(125) -> 47(141) -> 43(140) -> 22(140) -> 33(126) -> 14(130) -> 1(129) -> 21(137) -> 0(126) -> 20(128) -> 45(121) -> 19(113) -> 30(142) -> 35(135) -> 49(128) -> 34(132) -> 4(126) -> 16(126) -> 15(130) -> 6(134) -> 17(122) -> 41(125) -> 27(118) -> 31(110) -> 28(130) -> 37(146)
Total time of delivery: 6397
The cost function value: 6397

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2338495 --> [88.13690213485107%]
Healthy residents: 314758 --> [11.863097865148932%]
Vaccinated residents314758 --> [11.863097865148932%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
2130 2653253 2338495 314758 314758
2140 2653253 2338495 314758 314758
2150 2653253 2338495 314758 314758
2160 2653253 2338495 314758 314758
2170 2653253 2338495 314758 314758
2180 2653253 2338495 314758 314758
2190 2653253 2338495 314758 314758
2200 2653253 2338495 314758 314758
2210 2653253 2338495 314758 314758
2220 2653253 2338495 314758 314758
2230 2653253 2338495 314758 314758
2240 2653253 2338495 314758 314758
2250 2653253 2338495 314758 314758
2260 2653253 2338495 314758 314758
2270 2653253 2338495 314758 314758
2280 2653253 2338495 314758 314758
2290 2653253 2338495 314758 314758
2300 2653253 2338495 314758 314758
2310 2653253 2338495 314758 314758
2320 2653253 2338495 314758 314758
2330 2653253 2338495 314758 314758
2340 2653253 2338495 314758 314758
2350 2653253 2338495 314758 314758
2360 2653253 2338495 314758 314758
2370 2653253 2338495 314758 314758
2380 2653253 2338495 314758 314758
2390 2653253 2338495 314758 314758
2400 2653253 2338495 314758 314758
2410 2653253 2338495 314758 314758
2420 2653253 2338495 314758 314758
2430 2653253 2338495 314758 314758
2440 2653253 2338495 314758 314758
2450 2653253 2338495 314758 314758
2460 2653253 2338495 314758 314758
2470 2653253 2338495 314758 314758
2480 2653253 2338495 314758 314758
2490 2653253 2338495 314758 314758
2500 2653253 2338495 314758 314758
2510 2653253 2338495 314758 314758
2520 2653253 2338495 314758 314758
2530 2653253 2338495 314758 314758
2540 2653253 2338495 314758 314758
2550 2653253 2338495 314758 314758
2560 2653253 2338495 314758 314758
2570 2653253 2338495 314758 314758
2580 2653253 2338495 314758 314758
2590 2653253 2338495 314758 314758
2600 2653253 2338495 314758 314758
2610 2653253 2338495 314758 314758
2620 2653253 2338495 314758 314758
2630 2653253 2338495 314758 314758
2640 2653253 2338495 314758 314758
